Applications/Text 	 hunspell-cv
Applications/Text 	 hunspell-cy
Applications/Text 	 hunspell-da
Applications/Text 	 hunspell-de
Applications/Text 	 hunspell-dsb
Applications/Text 	 hunspell-el
Applications/Text 	 hunspell-en
Applications/Text 	 hunspell-eo
Applications/Text 	 hunspell-es
Applications/Text 	 hunspell-et
Applications/Text 	 hunspell-eu
Applications/Text 	 hunspell-fa
Applications/Text 	 hunspell-fj
Applications/Text 	 hunspell-fo
Applications/Text 	 hunspell-fr
Applications/Text 	 hunspell-fur
Applications/Text 	 hunspell-fy
Applications/Text 	 hunspell-ga
Applications/Text 	 hunspell-gd
Applications/Text 	 hunspell-gl
Applications/Text 	 hunspell-grc
Applications/Text 	 hunspell-gu
Applications/Text 	 hunspell-gv
Applications/Text 	 hunspell-haw
Applications/Text 	 hunspell-hi
Applications/Text 	 hunspell-hil
Applications/Text 	 hunspell-hr
Applications/Text 	 hunspell-hsb
Applications/Text 	 hunspell-ht
Applications/Text 	 hunspell-hu
Applications/Text 	 hunspell-hy
Applications/Text 	 hunspell-ia
Applications/Text 	 hunspell-id
Applications/Text 	 hunspell-is
Applications/Text 	 hunspell-it
Applications/Text 	 hunspell-kk
Applications/Text 	 hunspell-km
Applications/Text 	 hunspell-kn
Applications/Text 	 hunspell-ko
Applications/Text 	 hunspell-ku
Applications/Text 	 hunspell-ky
Applications/Text 	 hunspell-la
Applications/Text 	 hunspell-lb
Applications/Text 	 hunspell-ln
Applications/Text 	 hunspell-lt
Applications/Text 	 hunspell-mai
Applications/Text 	 hunspell-mg
Applications/Text 	 hunspell-mi
Applications/Text 	 hunspell-mk
Applications/Text 	 hunspell-ml
Applications/Text 	 hunspell-mn
Applications/Text 	 hunspell-mos
Applications/Text 	 hunspell-mr
Applications/Text 	 hunspell-ms
Applications/Text 	 hunspell-mt
Applications/Text 	 hunspell-nds
Applications/Text 	 hunspell-ne
Applications/Text 	 hunspell-nl
Applications/Text 	 hunspell-no
Applications/Text 	 hunspell-nr
Applications/Text 	 hunspell-nso
Applications/Text 	 hunspell-ny
Applications/Text 	 hunspell-oc
Applications/Text 	 hunspell-om
Applications/Text 	 hunspell-or
Applications/Text 	 hunspell-pa
Applications/Text 	 hunspell-pl
Applications/Text 	 hunspell-pt
Applications/Text 	 hunspell-qu
Applications/Text 	 hunspell-quh
Applications/Text 	 hunspell-ro
Applications/Text 	 hunspell-ru
Applications/Text 	 hunspell-rw
Applications/Text 	 hunspell-sc
Applications/Text 	 hunspell-se
Applications/Text 	 hunspell-shs
Applications/Text 	 hunspell-si
Applications/Text 	 hunspell-sk
Applications/Text 	 hunspell-sl
Applications/Text 	 hunspell-smj
Applications/Text 	 hunspell-so
Applications/Text 	 hunspell-sq
Applications/Text 	 hunspell-sr
Applications/Text 	 hunspell-ss
Applications/Text 	 hunspell-st
Applications/Text 	 hunspell-sv
Applications/Text 	 hunspell-sw
Applications/Text 	 hunspell-ta
Applications/Text 	 hunspell-te
Applications/Text 	 hunspell-tet
Applications/Text 	 hunspell-th
Applications/Text 	 hunspell-ti
Applications/Text 	 hunspell-tk
Applications/Text 	 hunspell-tl
Applications/Text 	 hunspell-tn
Applications/Text 	 hunspell-tpi
Applications/Text 	 hunspell-ts
Applications/Text 	 hunspell-uk
Applications/Text 	 hunspell-ur
Applications/Text 	 hunspell-uz
Applications/Text 	 hunspell-ve
Applications/Text 	 hunspell-vi
Applications/Text 	 hunspell-wa
Applications/Text 	 hunspell-xh
Applications/Text 	 hunspell-yi
Applications/Text 	 hunspell-zu
Applications/Text 	 hyphen-as
Applications/Text 	 hyphen-bg
Applications/Text 	 hyphen-bn
Applications/Text 	 hyphen-ca
Applications/Text 	 hyphen-cy
Applications/Text 	 hyphen-da
Applications/Text 	 hyphen-de
Applications/Text 	 hyphen-el
Applications/Text 	 hyphen-es
Applications/Text 	 hyphen-eu
Applications/Text 	 hyphen-fa
Applications/Text 	 hyphen-fo
Applications/Text 	 hyphen-fr
Applications/Text 	 hyphen-ga
Applications/Text 	 hyphen-gl
Applications/Text 	 hyphen-grc
Applications/Text 	 hyphen-gu
Applications/Text 	 hyphen-hi
Applications/Text 	 hyphen-hsb
Applications/Text 	 hyphen-hu
Applications/Text 	 hyphen-ia
Applications/Text 	 hyphen-id
Applications/Text 	 hyphen-is
Applications/Text 	 hyphen-it
Applications/Text 	 hyphen-kn
Applications/Text 	 hyphen-ku
Applications/Text 	 hyphen-lt
Applications/Text 	 hyphen-mi
Applications/Text 	 hyphen-ml
Applications/Text 	 hyphen-mn
Applications/Text 	 hyphen-mr
Applications/Text 	 hyphen-nl
Applications/Text 	 hyphen-or
Applications/Text 	 hyphen-pa
Applications/Text 	 hyphen-pl
Applications/Text 	 hyphen-pt
Applications/Text 	 hyphen-ro
Applications/Text 	 hyphen-ru
Applications/Text 	 hyphen-sa
Applications/Text 	 hyphen-sk
Applications/Text 	 hyphen-sl
Applications/Text 	 hyphen-sv
Applications/Text 	 hyphen-ta
Applications/Text 	 hyphen-te
Applications/Text 	 hyphen-tk
Applications/Text 	 hyphen-uk
Applications/Text 	 indent
Applications/Text 	 jing-trang
Applications/Text 	 less
Applications/Text 	 m4
Applications/Text 	 malaga-suomi-voikko
Applications/Text 	 mythes-bg
Applications/Text 	 mythes-ca
Applications/Text 	 mythes-cs
Applications/Text 	 mythes-da
Applications/Text 	 mythes-de
Applications/Text 	 mythes-el
Applications/Text 	 mythes-en
Applications/Text 	 mythes-es
Applications/Text 	 mythes-fr
Applications/Text 	 mythes-ga
Applications/Text 	 mythes-hu
Applications/Text 	 mythes-it
Applications/Text 	 mythes-mi
Applications/Text 	 mythes-ne
Applications/Text 	 mythes-nl
Applications/Text 	 mythes-pl
Applications/Text 	 mythes-pt
Applications/Text 	 mythes-ro
Applications/Text 	 mythes-ru
Applications/Text 	 mythes-sk
Applications/Text 	 mythes-sl
Applications/Text 	 mythes-sv
Applications/Text 	 mythes-uk
Applications/Text 	 openjade
Applications/Text 	 openoffice
Applications/Text 	 opensp
Applications/Text 	 publican-redhat
Applications/Text 	 saxon
Applications/Text 	 sed
Applications/Text 	 sgml-common
Applications/Text 	 texi2html
Applications/Text 	 wordnet
Applications/Text 	 xhtml1-dtds
Applications/Text 	 xhtml2fo-style-xsl
Applications/Text 	 zaf
Development/Debuggers 	 crash
Development/Debuggers 	 crash-gcore-command
Development/Debuggers 	 crash-ptdump-command
Development/Debuggers 	 crash-trace-command
Development/Debuggers 	 latrace
Development/Debuggers 	 libunwind
Development/Debuggers 	 lsof
Development/Debuggers 	 ltrace
Development/Debuggers 	 memstomp
Development/Debuggers 	 %{?scl_prefix}gdb
Development/Debuggers 	 %{?scl_prefix}valgrind
Development/Debuggers 	 strace
Development/Debug 	 shim
Development/Debug\ 	 shim-signed
Development/Java 	 ldapjdk
Development/Java 	 plexus-velocity
Development/Languages 	 acpica-tools
Development/Languages 	 babel
Development/Languages 	 compat-gcc-32
Development/Languages 	 compat-gcc-34
Development/Languages 	 compat-gcc-44
Development/Languages 	 easymock2
Development/Languages 	 ecj
Development/Languages 	 expect
Development/Languages 	 gcc
Development/Languages 	 gcc48
Development/Languages 	 gnome-python2
Development/Languages 	 groovy
Development/Languages 	 gstreamer-python
Development/Languages 	 guile
Development/Languages 	 java
Development/Languages 	 jre
Development/Languages 	 js
Development/Languages 	 lua
Development/Languages 	 malaga
Development/Languages 	 mozjs17
Development/Languages 	 mozjs24
Development/Languages 	 numpy
Development/Languages 	 OpenJDK
Development/Languages 	 perl
Development/Languages 	 pexpect
Development/Languages 	 php
Development/Languages 	 php-pear
Development/Languages 	 php-pecl-memcache
Development/Languages 	 pyatspi
Development/Languages 	 pycairo
Development/Languages 	 pygobject2
Development/Languages 	 pygpgme
Development/Languages 	 pygtk2
Development/Languages 	 pyorbit
Development/Languages 	 pytest
Development/Languages 	 python
Development/Languages 	 python-augeas
Development/Languages 	 python-beaker
Development/Languages 	 python-chardet
Development/Languages 	 python-cpio
Development/Languages 	 python-cups
Development/Languages 	 python-dateutil
Development/Languages 	 python-decorator
Development/Languages 	 python-dns
Development/Languages 	 python-fpconst
Development/Languages 	 python-ipaddr
Development/Languages 	 python-jinja2
Development/Languages 	 python-kitchen
Development/Languages 	 python-krbV
Development/Languages 	 python-mako
Development/Languages 	 python-markupsafe
Development/Languages 	 python-memcached
Development/Languages 	 python-%{modname}
Development/Languages 	 python-%{modulename}
Development/Languages 	 python-nose
Development/Languages 	 python-nss
Development/Languages 	 python-py
Development/Languages 	 python-pycurl
Development/Languages 	 python-pyudev
Development/Languages 	 python-%{realname}
Development/Languages 	 python-six
Development/Languages 	 python-smbc
Development/Languages 	 python-%{srcname}
Development/Languages 	 python-tempita
Development/Languages 	 python-virtualenv
Development/Languages 	 python-webtest
Development/Languages 	 python-which
Development/Languages 	 pytz
Development/Languages 	 pyusb
Development/Languages 	 qjson
Development/Languages 	 ruby
Development/Languages 	 rubygem
Development/Languages 	 rubygem-bundler
Development/Languages 	 rubygem-%{gem_name}
Development/Languages 	 rubygems
Development/Languages 	 SOAPpy
Development/Languages 	 tcl
Development/Languages 	 tclx
Development/Languages 	 tix
Development/Languages 	 tk
Development/Languages 	 yasm
Development/Libraries 	 ant-%{base_name}
Development/Libraries 	 ant-contrib
Development/Libraries 	 apache-commons-exec
Development/Libraries 	 apache-%{jarname}
Development/Libraries 	 apache-parent
Development/Libraries 	 apache-rat
Development/Libraries 	 apache-resource-bundles
Development/Libraries 	 apache-%{short_name}
Development/Libraries 	 apache-%{short_name}
Development/Libraries 	 apache-%{short_name}
Development/Libraries 	 apache-%{short_name}
Development/Libraries 	 apache-%{short_name}
Development/Libraries 	 apache-%{short_name}
Development/Libraries 	 apache-%{short_name}
Development/Libraries 	 apache-%{short_name}
Development/Libraries 	 apache-%{short_name}
Development/Libraries 	 apache-%{short_name}
Development/Libraries 	 avalon-%{short_name}
Development/Libraries 	 avalon-%{short_name}
Development/Libraries 	 beust-%{short_name}
Development/Libraries 	 bsf
Development/Libraries 	 buildnumber-maven-plugin
Development/Libraries 	 bwidget
Development/Libraries 	 byaccj
Development/Libraries 	 byteman
Development/Libraries 	 cdi-api
Development/Libraries 	 cim-schema
Development/Libraries 	 cmpi-bindings
Development/Libraries 	 codehaus-parent
Development/Libraries 	 codemodel
Development/Libraries 	 compat-cogl114
Development/Libraries 	 compat-glibc
Development/Libraries 	 compat-poppler022
Development/Libraries 	 cppunit
Development/Libraries 	 ding-libs
Development/Libraries 	 dom4j
Development/Libraries 	 dyninst
Development/Libraries 	 easymock
Development/Libraries 	 exec-maven-plugin
Development/Libraries 	 %{far}02
Development/Libraries 	 farstream
Development/Libraries 	 felix-osgi-compendium
Development/Libraries 	 felix-osgi-obr
Development/Libraries 	 felix-parent
Development/Libraries 	 felix-utils
Development/Libraries 	 gamin
Development/Libraries 	 gcr
Development/Libraries 	 GeoIP
Development/Libraries 	 geronimo-jaspic-spec
Development/Libraries 	 geronimo-jaxrpc
Development/Libraries 	 geronimo-jms
Development/Libraries 	 geronimo-jta
Development/Libraries 	 geronimo-osgi-support
Development/Libraries 	 geronimo-saaj
Development/Libraries 	 glassfish-dtd-parser
Development/Libraries 	 glassfish-el
Development/Libraries 	 glassfish-el-api
Development/Libraries 	 glassfish-fastinfoset
Development/Libraries 	 glassfish-jaxb
Development/Libraries 	 glassfish-jaxb-api
Development/Libraries 	 glassfish-jsp
Development/Libraries 	 glassfish-jsp-api
Development/Libraries 	 glm
Development/Libraries 	 gnu-getopt
Development/Libraries 	 google-%{short_name}
Development/Libraries 	 gtk-vnc
Development/Libraries 	 httpcomponents-client
Development/Libraries 	 httpcomponents-core
Development/Libraries 	 httpcomponents-project
Development/Libraries 	 istack-commons
Development/Libraries 	 jackson
Development/Libraries 	 jakarta-commons-httpclient
Development/Libraries 	 jakarta-taglibs-standard
Development/Libraries 	 jandex
Development/Libraries 	 jansi-native
Development/Libraries 	 java-atk-wrapper
Development/Libraries/Java 	 bea-stax
Development/Libraries/Java 	 objectweb-asm
Development/Libraries/Java 	 regexp
Development/Libraries 	 javassist
Development/Libraries/Java 	 ws-jaxme
Development/Libraries 	 jaxen
Development/Libraries 	 jbigkit
Development/Libraries 	 jboss-annotations-1.1-api
Development/Libraries 	 jboss-ejb-3.1-api
Development/Libraries 	 jboss-el-2.2-api
Development/Libraries 	 jboss-interceptors-1.1-api
Development/Libraries 	 jboss-jaxrpc-1.1-api
Development/Libraries 	 jboss-parent
Development/Libraries 	 jboss-servlet-2.5-api
Development/Libraries 	 jboss-servlet-3.0-api
Development/Libraries 	 jboss-specs-parent
Development/Libraries 	 jboss-transaction-1.1-api
Development/Libraries 	 jdepend
Development/Libraries 	 jdom
Development/Libraries 	 jettison
Development/Libraries 	 jetty
Development/Libraries 	 jetty-assembly-descriptors
Development/Libraries 	 jetty-parent
Development/Libraries 	 jline
Development/Libraries 	 jsch
Development/Libraries 	 json-c
Development/Libraries 	 jsr-311
Development/Libraries 	 jvnet-parent
Development/Libraries 	 keybinder3
Development/Libraries 	 lapack
Development/Libraries 	 libcacard
Development/Libraries 	 libcgroup
Development/Libraries 	 libdbi
Development/Libraries 	 libdbi-drivers
Development/Libraries 	 libdmapsharing
Development/Libraries 	 libdwarf
Development/Libraries 	 libecap
Development/Libraries 	 libfastjson
Development/Libraries 	 libgovirt
Development/Libraries 	 libgphoto2
Development/Libraries 	 libinvm-cim
Development/Libraries 	 libinvm-cli
Development/Libraries 	 libinvm-i18n
Development/Libraries 	 libiptcdata
Development/Libraries 	 libldb
Development/Libraries 	 libmatchbox
Development/Libraries 	 libmediaart
Development/Libraries 	 libmicrohttpd
Development/Libraries 	 libnl
Development/Libraries 	 libnl3
Development/Libraries 	 libosinfo
Development/Libraries 	 libpcap
Development/Libraries 	 libpipeline
Development/Libraries 	 libpsm2
Development/Libraries 	 libqmi
Development/Libraries 	 LibRaw
Development/Libraries 	 libvirt
Development/Libraries 	 libvirt-cim
Development/Libraries 	 libvirt-glib
Development/Libraries 	 libvirt-java
Development/Libraries 	 libvirt-python
Development/Libraries 	 libvirt-snmp
Development/Libraries 	 libwebp
Development/Libraries 	 libxklavier
Development/Libraries 	 libxml2
Development/Libraries 	 libxslt
Development/Libraries 	 marisa
Development/Libraries 	 maven-antrun-plugin
Development/Libraries 	 maven-changes-plugin
Development/Libraries 	 maven-clean-plugin
Development/Libraries 	 maven-compiler-plugin
Development/Libraries 	 maven-dependency-plugin
Development/Libraries 	 maven-dependency-tree
Development/Libraries 	 maven-deploy-plugin
Development/Libraries 	 maven-doxia
Development/Libraries 	 maven-ear-plugin
Development/Libraries 	 maven-gpg-plugin
Development/Libraries 	 maven-install-plugin
Development/Libraries 	 maven-invoker-plugin
Development/Libraries 	 maven-jarsigner-plugin
Development/Libraries 	 maven-plugin-build-helper
Development/Libraries 	 maven-plugin-tools
Development/Libraries 	 maven-project-info-reports-plugin
Development/Libraries 	 maven-release
Development/Libraries 	 maven-remote-resources-plugin
Development/Libraries 	 maven-resources-plugin
Development/Libraries 	 maven-scm
Development/Libraries 	 maven-shared
Development/Libraries 	 maven-shared-incremental
Development/Libraries 	 maven-site-plugin
Development/Libraries 	 maven-source-plugin
Development/Libraries 	 maven-surefire
Development/Libraries 	 maven-verifier-plugin
Development/Libraries 	 maven-war-plugin
Development/Libraries 	 mpich
Development/Libraries 	 msv
Development/Libraries 	 mvapich2
Development/Libraries 	 MySQL-python
Development/Libraries 	 nekohtml
Development/Libraries 	 nettle
Development/Libraries 	 objectweb-asm4
Development/Libraries 	 ocaml-curses
Development/Libraries 	 ocaml-xml-light
Development/Libraries 	 opencv
Development/Libraries 	 openmpi%{?_cc_name_suffix}
Development/Libraries 	 %{package_name}
Development/Libraries 	 %{package_name}
Development/Libraries 	 %{parent}-%{subname}
Development/Libraries 	 perl-Algorithm-Diff
Development/Libraries 	 perl-AppConfig
Development/Libraries 	 perl-App-cpanminus
Development/Libraries 	 perl-Archive-Extract
Development/Libraries 	 perl-Archive-Tar
Development/Libraries 	 perl-Archive-Zip
Development/Libraries 	 perl-Authen-SASL
Development/Libraries 	 perl-autodie
Development/Libraries 	 perl-Bit-Vector
Development/Libraries 	 perl-B-Keywords
Development/Libraries 	 perl-B-Lint
Development/Libraries 	 perl-Browser-Open
Development/Libraries 	 perl-Business-ISBN
Development/Libraries 	 perl-Business-ISBN-Data
Development/Libraries 	 perl-Capture-Tiny
Development/Libraries 	 perl-Carp
Development/Libraries 	 perl-Carp-Clan
Development/Libraries 	 perl-CGI
Development/Libraries 	 perl-CGI-Session
Development/Libraries 	 perl-Class-Data-Inheritable
Development/Libraries 	 perl-Class-Inspector
Development/Libraries 	 perl-Class-ISA
Development/Libraries 	 perl-Class-Load
Development/Libraries 	 perl-Class-Load-XS
Development/Libraries 	 perl-Class-Singleton
Development/Libraries 	 perl-Clone
Development/Libraries 	 perl-Compress-Raw-Bzip2
Development/Libraries 	 perl-Compress-Raw-Zlib
Development/Libraries 	 perl-Config-Simple
Development/Libraries 	 perl-Config-Tiny
Development/Libraries 	 perl-constant
Development/Libraries 	 perl-Convert-ASN1
Development/Libraries 	 perl-CPAN-Changes
